# slug,chinese_name,english_name,scientific_name,wikipedia_page
mandarin_duck,"鸳鸯","Mandarin Duck","Aix galericulata",Mandarin_Duck
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
red_billed_blue_magpie,"红嘴蓝鹊","Red-billed Blue Magpie","Urocissa erythroryncha",Red-billed_Blue_Magpie
oriental_magpie,"喜鹊","Oriental Magpie","Pica serica",Oriental_Magpie
carrion_crow,"小嘴乌鸦","Carrion Crow","Corvus corone",Carrion_Crow
large_billed_crow,"大嘴乌鸦","Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
yellow_bellied_tit,"黄腹山雀","Yellow-bellied Tit","Pardaliparus venustulus",Yellow-bellied_Tit
marsh_tit,"沼泽山雀","Marsh Tit","Poecile palustris",Marsh_Tit
japanese_tit,"大山雀","Japanese Tit","Parus minor",Japanese_Tit
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
silver_throated_bushtit,"银喉长尾山雀","Silver-throated Bushtit","Aegithalos glaucogularis",Silver-throated_Bushtit
vinous_throated_parrotbill,"棕头鸦雀","Vinous-throated Parrotbill","Sinosuthora webbiana",Vinous-throated_Parrotbill
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
